movieId,rating,cluster,mega_label,centroid,popularity,title,coef_age
1,3.921239561324077,67.0,2.0,67.0,49695,Toy Story (1995),97.00044656447453
2,3.2119768016904193,61.0,0.0,61.0,22243,Jumanji (1995),96.29118380484088
3,3.1510404397330194,71.0,0.0,71.0,12735,Grumpier Old Men (1995),96.23024744288348
4,2.8613933236574747,41.0,0.0,41.0,2756,Waiting to Exhale (1995),95.94060032680794
5,3.064591727653976,5.0,0.0,5.0,12161,Father of the Bride Part II (1995),96.14379873080443
6,3.8349303318130468,73.0,5.0,73.0,23899,Heat (1995),96.9141373349635
7,3.3664840675873777,64.0,0.0,64.0,12961,Sabrina (1995),96.44569107073784
8,3.142049469964664,79.0,6.0,79.0,1415,Tom and Huck (1995),96.22125647311512
9,3.0049242424242424,86.0,0.0,86.0,3960,Sudden Death (1995),96.0841312455747
10,3.430029305292191,71.0,0.0,71.0,29005,GoldenEye (1995),96.50923630844265
11,3.667712806959586,17.0,0.0,17.0,18162,"American President, The (1995)",96.74691981011004
12,2.6197659297789335,34.0,0.0,34.0,3845,Dracula: Dead and Loving It (1995),95.6989729329294
13,3.272416153319644,0.0,0.0,0.0,1461,Balto (1995),96.3516231564701
14,3.432082364662903,66.0,1.0,66.0,6022,Nixon (1995),96.51128936781336
15,2.7219931271477664,43.0,0.0,43.0,2910,Cutthroat Island (1995),95.80120013029823
16,3.7874554444061173,73.0,5.0,73.0,17394,Casino (1995),96.86666244755658
17,3.9685730875308463,36.0,6.0,36.0,20667,Sense and Sensibility (1995),97.0477800906813
18,3.3736305977320775,33.0,2.0,33.0,5203,Four Rooms (1995),96.45283760088253
19,2.6074123603018435,41.0,0.0,41.0,20938,Ace Ventura: When Nature Calls (1995),95.68661936345231
20,2.8807541625857005,86.0,0.0,86.0,4084,Money Train (1995),95.95996116573616
21,3.581688505556477,91.0,2.0,91.0,24116,Get Shorty (1995),96.66089550870693
22,3.319399677679291,74.0,3.0,74.0,9928,Copycat (1995),96.39860668082974
23,3.1482352941176472,86.0,0.0,86.0,4250,Assassins (1995),96.22744229726811
24,3.199849454271735,64.0,0.0,64.0,7971,Powder (1995),96.27905645742219
25,3.689509581032803,98.0,7.0,98.0,21553,Leaving Las Vegas (1995),96.76871658418327
26,3.628856624319419,95.0,1.0,95.0,2755,Othello (1995),96.70806362746988
27,3.413520097442144,17.0,0.0,17.0,1642,Now and Then (1995),96.4927271005926
28,4.057545973367152,50.0,6.0,50.0,3154,Persuasion (1995),97.13675297651761
29,3.952230046948357,18.0,7.0,18.0,8520,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",97.03143705009882
30,3.633879781420765,11.0,9.0,11.0,1281,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),96.71308678457122
31,3.250344462109168,17.0,0.0,17.0,9435,Dangerous Minds (1995),96.32955146525963
32,3.8980546909737663,63.0,5.0,63.0,44980,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),96.97726169412422
33,3.0076923076923077,64.0,0.0,64.0,65,Wings of Courage (1995),96.08689931084277
34,3.6430940939389242,79.0,6.0,79.0,32255,Babe (1995),96.72230109708939
35,3.5016744809109177,65.0,1.0,65.0,1493,Carrington (1995),96.58088148406138
36,3.9427170935652844,48.0,4.0,48.0,20809,Dead Man Walking (1995),97.02192409671574
37,3.0176470588235293,54.0,6.0,54.0,85,Across the Sea of Time (1995),96.09685406197399
38,2.857789855072464,0.0,0.0,0.0,552,It Takes Two (1995),95.93699685822293
39,3.413632208425383,79.0,6.0,79.0,26254,Clueless (1995),96.49283921157584
40,3.646726862302483,95.0,1.0,95.0,886,"Cry, the Beloved Country (1995)",96.72593386545294
41,3.8521006611217743,55.0,4.0,55.0,4689,Richard III (1995),96.93130766427223
42,3.0551276854479124,10.0,1.0,10.0,2467,Dead Presidents (1995),96.13433468859837
43,3.4684561128526648,72.0,8.0,72.0,2552,Restoration (1995),96.54766311600312
44,2.653874918201365,78.0,0.0,78.0,10697,Mortal Kombat (1995),95.73308192135183
45,3.3843613567670436,66.0,1.0,66.0,8933,To Die For (1995),96.4635683599175
46,3.2748829953198126,64.0,0.0,64.0,3205,How to Make an American Quilt (1995),96.35408999847027
47,4.053492566302111,16.0,5.0,16.0,43249,Seven (a.k.a. Se7en) (1995),97.13269956945257
48,2.9461137513414073,0.0,0.0,0.0,13046,Pocahontas (1995),96.02532075449187
49,3.5847457627118646,29.0,1.0,29.0,236,When Night Is Falling (1995),96.66395276586232
50,4.334372207803259,16.0,5.0,16.0,47006,"Usual Suspects, The (1995)",97.41357921095371
52,3.541148068669528,32.0,4.0,32.0,9320,Mighty Aphrodite (1995),96.62035507181999
53,3.6966666666666668,21.0,1.0,21.0,150,Lamerica (1994),96.58448464949412
54,2.8546025104602513,0.0,0.0,0.0,956,"Big Green, The (1995)",95.93380951361071
55,3.241214057507987,1.0,1.0,1.0,939,Georgia (1995),96.32042106065845
56,1.8714285714285714,43.0,0.0,43.0,70,Kids of the Round Table (1995),94.95063557457902
57,3.324518245182452,1.0,1.0,1.0,2439,Home for the Holidays (1995),96.4037252483329
58,3.978396397956533,49.0,8.0,49.0,11549,"Postman, The (Postino, Il) (1994)",96.86621438078397
59,3.56020942408377,26.0,7.0,26.0,191,"Confessional, The (Confessionnal, Le) (1995)",96.63941642723422
60,3.114446380484714,79.0,6.0,79.0,6313,"Indian in the Cupboard, The (1995)",96.19365338363517
61,3.3231039017974573,56.0,0.0,56.0,2281,Eye for an Eye (1996),96.5918857840388
62,3.7318249832309993,17.0,0.0,17.0,19381,Mr. Holland's Opus (1995),96.81103198638145
63,3.06662382176521,60.0,0.0,60.0,2334,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),96.33540570400655
64,2.829817833173538,41.0,0.0,41.0,2086,Two if by Sea (1996),96.09859971541488
65,2.3942228618421053,43.0,0.0,43.0,4864,Bio-Dome (1996),95.66300474408345
66,2.144242935470266,52.0,0.0,52.0,2371,Lawnmower Man 2: Beyond Cyberspace (1996),95.4130248177116
67,3.35,1.0,1.0,1.0,170,Two Bits (1995),96.42920700315045
68,3.4369951534733443,62.0,0.0,62.0,1238,French Twist (Gazon maudit) (1995),96.5162021566238
69,3.560634328358209,30.0,2.0,30.0,4288,Friday (1995),96.63984133150866
70,3.2774543738200124,87.0,2.0,87.0,12712,From Dusk Till Dawn (1996),96.54623625606135
71,2.3552123552123554,52.0,0.0,52.0,1295,Fair Game (1995),95.43441935836282
72,3.502439024390244,26.0,7.0,26.0,1230,Kicking and Screaming (1995),96.5816460275407
73,3.8067681895093064,49.0,8.0,49.0,2955,"Misérables, Les (1995)",96.88597519265977
74,3.3022196926579395,64.0,0.0,64.0,3514,Bed of Roses (1996),96.57100157489928
75,2.4623655913978495,34.0,0.0,34.0,558,Big Bully (1996),95.7311474736392
76,3.0090236686390535,35.0,1.0,35.0,3380,Screamers (1995),96.08823067178952
77,3.429864253393665,23.0,1.0,23.0,221,Nico Icon (1995),96.50907125654412
78,3.180668841761827,10.0,1.0,10.0,1226,"Crossing Guard, The (1995)",96.25987584491229
79,3.1285456187895213,22.0,3.0,22.0,5535,"Juror, The (1996)",96.39732750103086
80,3.7243478260869565,97.0,9.0,97.0,575,"White Balloon, The (Badkonake sefid) (1995)",96.80355482923741
81,3.267373013399813,25.0,1.0,25.0,3209,Things to Do in Denver When You're Dead (1995),96.34658001655028
82,4.004925137903862,39.0,1.0,39.0,2538,Antonia's Line (Antonia) (1995),97.08413214105433
83,3.653198653198653,95.0,1.0,95.0,594,Once Upon a Time... When We Were Colored (1995),96.73240565634912
84,3.4177215189873418,41.0,0.0,41.0,158,Last Summer in the Hamptons (1995),96.4969285221378
85,3.531134856300663,94.0,2.0,94.0,2714,Angels and Insects (1995),96.61034185945113
86,3.483402971216342,17.0,0.0,17.0,4308,White Squall (1996),96.75218485345768
87,2.3596311475409837,43.0,0.0,43.0,976,Dunston Checks In (1996),95.62841302978232
88,3.1076274671052633,41.0,0.0,41.0,4864,Black Sheep (1996),96.3764093493466
89,3.139821373575608,74.0,3.0,74.0,3247,Nick of Time (1995),96.21902837672607
90,3.357476635514019,62.0,0.0,62.0,214,"Journey of August King, The (1995)",96.43668363866448
92,2.8541033434650456,50.0,6.0,50.0,2303,Mary Reilly (1996),96.12288522570638
93,2.528738555442523,34.0,0.0,34.0,1966,Vampire in Brooklyn (1995),95.60794555859297
94,3.526923076923077,39.0,1.0,39.0,4030,Beautiful Girls (1996),96.79570495916442
95,3.0946435034382915,86.0,0.0,86.0,22104,Broken Arrow (1996),96.36342538567963
96,3.6873706004140785,46.0,1.0,46.0,483,In the Bleak Midwinter (1995),96.76657760356454
97,3.9964340295466125,98.0,7.0,98.0,1963,"Hate (Haine, La) (1995)",97.07564103269706
98,2.4876543209876543,62.0,0.0,62.0,81,Shopping (1994),95.3754723038151
99,3.105371900826446,62.0,0.0,62.0,726,Heidi Fleiss: Hollywood Madam (1995),96.1845789039769
